,features,ids
0,"[ 4.1599039e-02 -6.4002477e-02  1.0802481e-01 -2.3446053e-02
 -4.1491050e-02  1.8222462e-01 -7.8515694e-02 -6.8753123e-02
  1.7741621e-01  1.2536685e-01 -3.1892039e-02 -9.4399929e-02
  8.3598599e-02 -9.9432968e-02 -6.1297964e-02  6.7042701e-02
  4.1429829e-02 -8.3413266e-02  1.7934099e-01 -9.0113737e-02
 -6.3784502e-02 -7.1691126e-02 -4.3568470e-02  3.8288273e-02
  1.0918466e-03 -5.4918632e-02 -7.4694321e-02  1.0474421e-01
  1.8746912e-01 -6.7348309e-02  5.1191885e-02 -1.5080761e-02
 -2.7829718e-02  4.5429334e-02  8.4499255e-02 -2.9826395e-02
  2.3524633e-04 -3.7960995e-02  2.6011446e-02  1.8136509e-01
 -5.0381657e-02 -5.7613019e-02  8.6435296e-02 -4.2234976e-03
  6.6856503e-02  8.1916727e-02 -9.4798803e-03 -8.1499189e-02
  4.4204772e-02  1.4058658e-01 -2.4423314e-02 -5.5826697e-03
 -6.3625090e-02  9.4111059e-03 -4.3204110e-02  2.5845215e-01
 -7.5617959e-03 -8.5770495e-02 -1.5039870e-02 -8.6275339e-02
 -1.2549891e-01  1.8271087e-01 -7.9838112e-02 -6.8004243e-02
 -4.7060233e-02  8.5864760e-02  3.4630328e-02 -4.7842864e-02
 -1.6471922e-02 -5.1491626e-02 -7.4473321e-02  7.0171207e-02
  9.3294419e-02 -9.5011510e-02  3.1641610e-02  5.7687651e-02
 -1.9478174e-02 -2.2295129e-03  1.4905132e-02  1.4213116e-01
 -7.2214149e-02 -2.9158745e-02 -8.8525862e-02 -7.6969616e-02
 -4.1067850e-02 -3.4914631e-02 -8.1230223e-02 -1.1598529e-02
 -7.6569788e-02  8.2477853e-03  7.0743980e-03 -9.3479514e-02
  2.5744277e-01  4.5381390e-02 -5.4574065e-02  1.4835255e-01
 -6.0513981e-02  3.4886301e-02  7.3889166e-02 -6.7554243e-02
  4.9608707e-04 -8.3482318e-02  3.9053943e-02 -5.2854702e-02
  1.8415871e-01  5.3674664e-02 -8.8066012e-02  5.2359208e-02
 -6.9195271e-02  1.3395695e-01  1.7377989e-01 -7.4880980e-02
  1.5129869e-01  1.1479353e-01 -6.7161046e-02 -3.6060461e-03
  6.6371299e-02 -6.1618075e-02 -9.0247728e-02 -8.2671881e-02
 -5.3614672e-02  2.9143862e-02 -4.6419807e-02 -3.5647251e-02
 -3.1026175e-02  2.0972103e-01  1.4359851e-01 -8.6045936e-02]",[0. 1. 0. 0. 0. 0. 0. 0.]
1,"[ 4.1599039e-02 -6.4002477e-02  1.0802481e-01 -2.3446053e-02
 -4.1491050e-02  1.8222462e-01 -7.8515694e-02 -6.8753123e-02
  1.7741621e-01  1.2536685e-01 -3.1892039e-02 -9.4399929e-02
  8.3598599e-02 -9.9432968e-02 -6.1297964e-02  6.7042701e-02
  4.1429829e-02 -8.3413266e-02  1.7934099e-01 -9.0113737e-02
 -6.3784502e-02 -7.1691126e-02 -4.3568470e-02  3.8288273e-02
  1.0918466e-03 -5.4918632e-02 -7.4694321e-02  1.0474421e-01
  1.8746912e-01 -6.7348309e-02  5.1191885e-02 -1.5080761e-02
 -2.7829718e-02  4.5429334e-02  8.4499255e-02 -2.9826395e-02
  2.3524633e-04 -3.7960995e-02  2.6011446e-02  1.8136509e-01
 -5.0381657e-02 -5.7613019e-02  8.6435296e-02 -4.2234976e-03
  6.6856503e-02  8.1916727e-02 -9.4798803e-03 -8.1499189e-02
  4.4204772e-02  1.4058658e-01 -2.4423314e-02 -5.5826697e-03
 -6.3625090e-02  9.4111059e-03 -4.3204110e-02  2.5845215e-01
 -7.5617959e-03 -8.5770495e-02 -1.5039870e-02 -8.6275339e-02
 -1.2549891e-01  1.8271087e-01 -7.9838112e-02 -6.8004243e-02
 -4.7060233e-02  8.5864760e-02  3.4630328e-02 -4.7842864e-02
 -1.6471922e-02 -5.1491626e-02 -7.4473321e-02  7.0171207e-02
  9.3294419e-02 -9.5011510e-02  3.1641610e-02  5.7687651e-02
 -1.9478174e-02 -2.2295129e-03  1.4905132e-02  1.4213116e-01
 -7.2214149e-02 -2.9158745e-02 -8.8525862e-02 -7.6969616e-02
 -4.1067850e-02 -3.4914631e-02 -8.1230223e-02 -1.1598529e-02
 -7.6569788e-02  8.2477853e-03  7.0743980e-03 -9.3479514e-02
  2.5744277e-01  4.5381390e-02 -5.4574065e-02  1.4835255e-01
 -6.0513981e-02  3.4886301e-02  7.3889166e-02 -6.7554243e-02
  4.9608707e-04 -8.3482318e-02  3.9053943e-02 -5.2854702e-02
  1.8415871e-01  5.3674664e-02 -8.8066012e-02  5.2359208e-02
 -6.9195271e-02  1.3395695e-01  1.7377989e-01 -7.4880980e-02
  1.5129869e-01  1.1479353e-01 -6.7161046e-02 -3.6060461e-03
  6.6371299e-02 -6.1618075e-02 -9.0247728e-02 -8.2671881e-02
 -5.3614672e-02  2.9143862e-02 -4.6419807e-02 -3.5647251e-02
 -3.1026175e-02  2.0972103e-01  1.4359851e-01 -8.6045936e-02]",[0. 0. 1. 0. 0. 0. 0. 0.]
2,"[ 3.54867056e-02 -6.13707006e-02  1.11297719e-01 -2.35149711e-02
 -4.47277203e-02  1.83997348e-01 -7.87240639e-02 -7.11701140e-02
  1.77464679e-01  1.20616779e-01 -3.18510048e-02 -9.26888064e-02
  8.98812413e-02 -9.98151526e-02 -6.26761541e-02  6.39046133e-02
  3.22630405e-02 -8.24703351e-02  1.80128813e-01 -8.82724598e-02
 -6.37326837e-02 -7.32877478e-02 -4.45267409e-02  4.80228886e-02
 -6.83892332e-03 -5.30605838e-02 -7.34109655e-02  1.01691417e-01
  1.91624582e-01 -6.98008090e-02  5.60246557e-02 -1.18067022e-02
 -2.90416125e-02  4.45314683e-02  8.73028412e-02 -3.07804756e-02
 -7.82528543e-04 -4.08344008e-02  2.59696282e-02  1.79809168e-01
 -4.92709801e-02 -5.65008707e-02  8.63827020e-02 -2.47073965e-03
  6.84537366e-02  7.79354498e-02 -1.03016384e-02 -8.04449916e-02
  4.66425046e-02  1.44880280e-01 -2.39926577e-02  6.17894635e-04
 -6.45353422e-02  1.16064390e-02 -4.57191505e-02  2.51784563e-01
  1.45419472e-04 -8.85116756e-02 -1.88391842e-02 -8.58945101e-02
 -1.27682179e-01  1.83397993e-01 -8.02152753e-02 -6.73381463e-02
 -4.69212420e-02  7.82086402e-02  3.94737534e-02 -4.85621765e-02
 -1.87111832e-02 -5.21637164e-02 -7.68795237e-02  6.45281747e-02
  9.60606411e-02 -9.54971910e-02  2.98071299e-02  5.41096479e-02
 -1.80575531e-02 -5.53475693e-04  1.28613487e-02  1.37651056e-01
 -7.49497861e-02 -2.34818347e-02 -8.88647661e-02 -7.57618025e-02
 -4.31257077e-02 -3.67532484e-02 -8.18444565e-02 -1.44821918e-02
 -7.92376399e-02  1.26939397e-02  9.82229947e-04 -9.36803222e-02
  2.54695266e-01  4.82067317e-02 -5.30791171e-02  1.49837807e-01
 -5.86997755e-02  4.42333929e-02  6.94665089e-02 -6.95753545e-02
  6.06982131e-03 -8.33769664e-02  3.98388095e-02 -5.23195527e-02
  1.86399698e-01  4.79757749e-02 -8.84008780e-02  5.14535755e-02
 -7.00821280e-02  1.28467411e-01  1.71840414e-01 -7.43826032e-02
  1.57930002e-01  1.13674134e-01 -6.75853416e-02 -7.14757014e-03
  6.57662079e-02 -6.31800815e-02 -9.05083865e-02 -8.30983147e-02
 -5.60170822e-02  2.59706471e-02 -5.26918694e-02 -3.50705162e-02
 -3.34432870e-02  2.06791863e-01  1.46660715e-01 -8.59813616e-02]",[0. 1. 0. 0. 0. 0. 0. 0.]
3,"[ 3.54867056e-02 -6.13707006e-02  1.11297719e-01 -2.35149711e-02
 -4.47277203e-02  1.83997348e-01 -7.87240639e-02 -7.11701140e-02
  1.77464679e-01  1.20616779e-01 -3.18510048e-02 -9.26888064e-02
  8.98812413e-02 -9.98151526e-02 -6.26761541e-02  6.39046133e-02
  3.22630405e-02 -8.24703351e-02  1.80128813e-01 -8.82724598e-02
 -6.37326837e-02 -7.32877478e-02 -4.45267409e-02  4.80228886e-02
 -6.83892332e-03 -5.30605838e-02 -7.34109655e-02  1.01691417e-01
  1.91624582e-01 -6.98008090e-02  5.60246557e-02 -1.18067022e-02
 -2.90416125e-02  4.45314683e-02  8.73028412e-02 -3.07804756e-02
 -7.82528543e-04 -4.08344008e-02  2.59696282e-02  1.79809168e-01
 -4.92709801e-02 -5.65008707e-02  8.63827020e-02 -2.47073965e-03
  6.84537366e-02  7.79354498e-02 -1.03016384e-02 -8.04449916e-02
  4.66425046e-02  1.44880280e-01 -2.39926577e-02  6.17894635e-04
 -6.45353422e-02  1.16064390e-02 -4.57191505e-02  2.51784563e-01
  1.45419472e-04 -8.85116756e-02 -1.88391842e-02 -8.58945101e-02
 -1.27682179e-01  1.83397993e-01 -8.02152753e-02 -6.73381463e-02
 -4.69212420e-02  7.82086402e-02  3.94737534e-02 -4.85621765e-02
 -1.87111832e-02 -5.21637164e-02 -7.68795237e-02  6.45281747e-02
  9.60606411e-02 -9.54971910e-02  2.98071299e-02  5.41096479e-02
 -1.80575531e-02 -5.53475693e-04  1.28613487e-02  1.37651056e-01
 -7.49497861e-02 -2.34818347e-02 -8.88647661e-02 -7.57618025e-02
 -4.31257077e-02 -3.67532484e-02 -8.18444565e-02 -1.44821918e-02
 -7.92376399e-02  1.26939397e-02  9.82229947e-04 -9.36803222e-02
  2.54695266e-01  4.82067317e-02 -5.30791171e-02  1.49837807e-01
 -5.86997755e-02  4.42333929e-02  6.94665089e-02 -6.95753545e-02
  6.06982131e-03 -8.33769664e-02  3.98388095e-02 -5.23195527e-02
  1.86399698e-01  4.79757749e-02 -8.84008780e-02  5.14535755e-02
 -7.00821280e-02  1.28467411e-01  1.71840414e-01 -7.43826032e-02
  1.57930002e-01  1.13674134e-01 -6.75853416e-02 -7.14757014e-03
  6.57662079e-02 -6.31800815e-02 -9.05083865e-02 -8.30983147e-02
 -5.60170822e-02  2.59706471e-02 -5.26918694e-02 -3.50705162e-02
 -3.34432870e-02  2.06791863e-01  1.46660715e-01 -8.59813616e-02]",[0. 0. 1. 0. 0. 0. 0. 0.]
4,"[ 7.62620792e-02 -8.51534382e-02  7.81365111e-02 -4.42196093e-02
  1.58551969e-02  2.39319980e-01 -8.15677047e-02 -8.55852738e-02
  1.59392580e-01  7.47757927e-02 -7.65625238e-02 -9.16001424e-02
  5.82023375e-02 -9.41242799e-02 -6.37947917e-02  6.08469062e-02
  7.94190541e-02 -8.96825790e-02  1.07651956e-01 -5.84840588e-02
 -6.49392828e-02 -7.99290538e-02 -5.52879348e-02  1.03496658e-02
  4.26800884e-02 -4.43137810e-02 -6.72347769e-02  1.57559499e-01
  1.12756602e-01 -6.79946244e-02  3.32878567e-02  1.82777848e-02
  2.30958201e-02  7.83363506e-02  2.67010927e-02  6.52753487e-02
  1.12705193e-01 -6.37073964e-02 -3.17623490e-03  7.85127506e-02
 -6.89172223e-02 -2.74425074e-02  1.03643186e-01 -5.69324661e-03
  5.11989333e-02  8.92040730e-02  8.66665542e-02 -8.53496939e-02
 -8.49617273e-03  1.46853492e-01 -2.41055395e-02  1.98829381e-04
 -6.18081726e-02 -2.82752458e-02  6.91749007e-02  2.19497055e-01
  9.99771990e-03 -7.16337115e-02  1.51641984e-02 -8.34964588e-02
 -1.36993974e-01  1.59153193e-01 -8.00758824e-02 -7.06662908e-02
 -5.55690788e-02  5.68775013e-02  3.72133180e-02 -4.32856232e-02
  5.34338653e-02 -4.57937308e-02 -6.33429214e-02  6.49100617e-02
  1.31048977e-01 -1.00742579e-01  4.44542710e-03  1.06338970e-01
  1.72960497e-02  2.13159118e-02  6.33367300e-02  1.26541674e-01
 -4.40133177e-02 -8.10089782e-02 -8.79351050e-02 -8.54524821e-02
 -5.21559156e-02 -4.82579060e-02 -6.54655620e-02  1.11321606e-01
 -3.66191082e-02 -1.14765875e-02 -3.98746245e-02 -8.41158703e-02
  3.16664815e-01  4.59718332e-02  2.57241726e-02  9.87860411e-02
 -5.57448342e-02  6.23195097e-02  3.23131271e-02 -1.01831786e-01
  7.92303905e-02 -8.24628323e-02  1.74529403e-02 -6.08905777e-02
  1.88534796e-01  5.00561446e-02 -7.32541829e-02  5.67591609e-03
 -5.47150485e-02  1.49278045e-01  1.76189870e-01 -6.10961914e-02
  1.54371709e-01  1.31684661e-01 -4.20692861e-02 -6.84902370e-02
  9.01307687e-02 -4.27862518e-02 -7.94797093e-02 -8.62559453e-02
 -6.03531338e-02  2.23023575e-02 -3.72697376e-02 -4.02827337e-02
  5.45538310e-03  1.82867259e-01  1.22540139e-01 -8.19371119e-02]",[0. 1. 0. 0. 0. 0. 0. 0.]
5,"[ 7.62620792e-02 -8.51534382e-02  7.81365111e-02 -4.42196093e-02
  1.58551969e-02  2.39319980e-01 -8.15677047e-02 -8.55852738e-02
  1.59392580e-01  7.47757927e-02 -7.65625238e-02 -9.16001424e-02
  5.82023375e-02 -9.41242799e-02 -6.37947917e-02  6.08469062e-02
  7.94190541e-02 -8.96825790e-02  1.07651956e-01 -5.84840588e-02
 -6.49392828e-02 -7.99290538e-02 -5.52879348e-02  1.03496658e-02
  4.26800884e-02 -4.43137810e-02 -6.72347769e-02  1.57559499e-01
  1.12756602e-01 -6.79946244e-02  3.32878567e-02  1.82777848e-02
  2.30958201e-02  7.83363506e-02  2.67010927e-02  6.52753487e-02
  1.12705193e-01 -6.37073964e-02 -3.17623490e-03  7.85127506e-02
 -6.89172223e-02 -2.74425074e-02  1.03643186e-01 -5.69324661e-03
  5.11989333e-02  8.92040730e-02  8.66665542e-02 -8.53496939e-02
 -8.49617273e-03  1.46853492e-01 -2.41055395e-02  1.98829381e-04
 -6.18081726e-02 -2.82752458e-02  6.91749007e-02  2.19497055e-01
  9.99771990e-03 -7.16337115e-02  1.51641984e-02 -8.34964588e-02
 -1.36993974e-01  1.59153193e-01 -8.00758824e-02 -7.06662908e-02
 -5.55690788e-02  5.68775013e-02  3.72133180e-02 -4.32856232e-02
  5.34338653e-02 -4.57937308e-02 -6.33429214e-02  6.49100617e-02
  1.31048977e-01 -1.00742579e-01  4.44542710e-03  1.06338970e-01
  1.72960497e-02  2.13159118e-02  6.33367300e-02  1.26541674e-01
 -4.40133177e-02 -8.10089782e-02 -8.79351050e-02 -8.54524821e-02
 -5.21559156e-02 -4.82579060e-02 -6.54655620e-02  1.11321606e-01
 -3.66191082e-02 -1.14765875e-02 -3.98746245e-02 -8.41158703e-02
  3.16664815e-01  4.59718332e-02  2.57241726e-02  9.87860411e-02
 -5.57448342e-02  6.23195097e-02  3.23131271e-02 -1.01831786e-01
  7.92303905e-02 -8.24628323e-02  1.74529403e-02 -6.08905777e-02
  1.88534796e-01  5.00561446e-02 -7.32541829e-02  5.67591609e-03
 -5.47150485e-02  1.49278045e-01  1.76189870e-01 -6.10961914e-02
  1.54371709e-01  1.31684661e-01 -4.20692861e-02 -6.84902370e-02
  9.01307687e-02 -4.27862518e-02 -7.94797093e-02 -8.62559453e-02
 -6.03531338e-02  2.23023575e-02 -3.72697376e-02 -4.02827337e-02
  5.45538310e-03  1.82867259e-01  1.22540139e-01 -8.19371119e-02]",[0. 0. 1. 0. 0. 0. 0. 0.]
6,"[ 0.09425635 -0.08432571  0.07187983 -0.04959366  0.00870747  0.23613504
 -0.08328837 -0.0864799   0.18403383  0.07093602 -0.07843907 -0.07684811
  0.04107922 -0.09404494 -0.0606737   0.05015456  0.08428651 -0.08913209
  0.09189305 -0.05818466 -0.06488794 -0.07981675 -0.04212624 -0.00770627
  0.03897222 -0.04442113 -0.0693255   0.15725416  0.10444367 -0.06495263
  0.03517936  0.00993833  0.02630999  0.0715775   0.00977752  0.07211653
  0.097608   -0.0627741  -0.00230574  0.05668151 -0.06993175 -0.02910392
  0.08708669 -0.00894504  0.04207759  0.08770601  0.09069104 -0.08717289
 -0.01644354  0.15356478 -0.03098289 -0.0128151  -0.06125632 -0.0218037
  0.09960507  0.206364    0.01710664 -0.07579855  0.01686872 -0.0841125
 -0.13695474  0.15389109 -0.07930581 -0.07737137 -0.05344136  0.06040509
  0.04440867 -0.04230649  0.08020815 -0.04213225 -0.06778856  0.06289751
  0.13748872 -0.09875775  0.00561622  0.11397713  0.04815993  0.0144943
  0.05664209  0.12263712 -0.045817   -0.07671755 -0.08821661 -0.08432585
 -0.05557087 -0.04004055 -0.06465672  0.12100152 -0.03046054 -0.00813649
 -0.04386833 -0.08575354  0.3105272   0.0523361   0.0407877   0.09380936
 -0.05877294  0.05530398  0.02713877 -0.10877971  0.08307564 -0.0759709
  0.02096016 -0.05891079  0.20768568  0.04420641 -0.07082368 -0.01757215
 -0.04566095  0.15854679  0.1509532  -0.06768195  0.1626062   0.12655549
 -0.03295078 -0.06982908  0.10299008 -0.04854977 -0.07739745 -0.09007928
 -0.06122014  0.02125619 -0.03648271 -0.03909663  0.00143744  0.18251736
  0.11990038 -0.08163447]",[0. 1. 0. 0. 0. 0. 0. 0.]
7,"[ 0.09425635 -0.08432571  0.07187983 -0.04959366  0.00870747  0.23613504
 -0.08328837 -0.0864799   0.18403383  0.07093602 -0.07843907 -0.07684811
  0.04107922 -0.09404494 -0.0606737   0.05015456  0.08428651 -0.08913209
  0.09189305 -0.05818466 -0.06488794 -0.07981675 -0.04212624 -0.00770627
  0.03897222 -0.04442113 -0.0693255   0.15725416  0.10444367 -0.06495263
  0.03517936  0.00993833  0.02630999  0.0715775   0.00977752  0.07211653
  0.097608   -0.0627741  -0.00230574  0.05668151 -0.06993175 -0.02910392
  0.08708669 -0.00894504  0.04207759  0.08770601  0.09069104 -0.08717289
 -0.01644354  0.15356478 -0.03098289 -0.0128151  -0.06125632 -0.0218037
  0.09960507  0.206364    0.01710664 -0.07579855  0.01686872 -0.0841125
 -0.13695474  0.15389109 -0.07930581 -0.07737137 -0.05344136  0.06040509
  0.04440867 -0.04230649  0.08020815 -0.04213225 -0.06778856  0.06289751
  0.13748872 -0.09875775  0.00561622  0.11397713  0.04815993  0.0144943
  0.05664209  0.12263712 -0.045817   -0.07671755 -0.08821661 -0.08432585
 -0.05557087 -0.04004055 -0.06465672  0.12100152 -0.03046054 -0.00813649
 -0.04386833 -0.08575354  0.3105272   0.0523361   0.0407877   0.09380936
 -0.05877294  0.05530398  0.02713877 -0.10877971  0.08307564 -0.0759709
  0.02096016 -0.05891079  0.20768568  0.04420641 -0.07082368 -0.01757215
 -0.04566095  0.15854679  0.1509532  -0.06768195  0.1626062   0.12655549
 -0.03295078 -0.06982908  0.10299008 -0.04854977 -0.07739745 -0.09007928
 -0.06122014  0.02125619 -0.03648271 -0.03909663  0.00143744  0.18251736
  0.11990038 -0.08163447]",[0. 0. 1. 0. 0. 0. 0. 0.]
8,"[ 0.09701554 -0.08506322  0.0697339  -0.04926275  0.00206617  0.24100755
 -0.08165594 -0.07885236  0.18248805  0.06144896 -0.0698781  -0.07021388
  0.05253825 -0.0960269  -0.0677783   0.05935838  0.08393639 -0.09266575
  0.10361534 -0.0627237  -0.06554118 -0.07904028 -0.0419359  -0.00917623
  0.02694719 -0.04305785 -0.07298025  0.1342515   0.12991254 -0.06484619
  0.03607109  0.02982396  0.0024209   0.0711557   0.01146162  0.07420976
  0.07914249 -0.06201645  0.00879282  0.05238098 -0.06812277 -0.02869182
  0.08911259  0.00101647  0.03347627  0.07103378  0.06708429 -0.08566891
 -0.00276371  0.16337176 -0.02324228  0.01556794 -0.06710719 -0.01509665
  0.07616729  0.2111261   0.01825076 -0.078237    0.01216003 -0.08447429
 -0.13626727  0.16110362 -0.08472496 -0.0719457  -0.06261776  0.07619739
  0.03851243 -0.04901176  0.07365604 -0.04288266 -0.06370981  0.05436749
  0.15086214 -0.09788822 -0.01299839  0.10845249  0.04491901 -0.00194625
  0.05774478  0.11895812 -0.04731284 -0.07304232 -0.08978014 -0.08765695
 -0.0494887  -0.03889264 -0.07021511  0.12269501 -0.05770791  0.00420995
 -0.03585747 -0.08481439  0.2895902   0.05838597  0.0535977   0.09758994
 -0.05740925  0.0511959   0.04582204 -0.10914527  0.09163966 -0.07173466
  0.0060007  -0.0603692   0.20672943  0.05186097 -0.07485101 -0.00457719
 -0.04806947  0.1663301   0.16314594 -0.07030948  0.15212247  0.13462287
 -0.02812522 -0.05551915  0.10277624 -0.0562297  -0.07878648 -0.08923767
 -0.05907093 -0.00746716 -0.02819063 -0.03790843 -0.00099831  0.1905105
  0.12365232 -0.08596249]",[0. 1. 0. 0. 0. 0. 0. 0.]
9,"[ 0.09701554 -0.08506322  0.0697339  -0.04926275  0.00206617  0.24100755
 -0.08165594 -0.07885236  0.18248805  0.06144896 -0.0698781  -0.07021388
  0.05253825 -0.0960269  -0.0677783   0.05935838  0.08393639 -0.09266575
  0.10361534 -0.0627237  -0.06554118 -0.07904028 -0.0419359  -0.00917623
  0.02694719 -0.04305785 -0.07298025  0.1342515   0.12991254 -0.06484619
  0.03607109  0.02982396  0.0024209   0.0711557   0.01146162  0.07420976
  0.07914249 -0.06201645  0.00879282  0.05238098 -0.06812277 -0.02869182
  0.08911259  0.00101647  0.03347627  0.07103378  0.06708429 -0.08566891
 -0.00276371  0.16337176 -0.02324228  0.01556794 -0.06710719 -0.01509665
  0.07616729  0.2111261   0.01825076 -0.078237    0.01216003 -0.08447429
 -0.13626727  0.16110362 -0.08472496 -0.0719457  -0.06261776  0.07619739
  0.03851243 -0.04901176  0.07365604 -0.04288266 -0.06370981  0.05436749
  0.15086214 -0.09788822 -0.01299839  0.10845249  0.04491901 -0.00194625
  0.05774478  0.11895812 -0.04731284 -0.07304232 -0.08978014 -0.08765695
 -0.0494887  -0.03889264 -0.07021511  0.12269501 -0.05770791  0.00420995
 -0.03585747 -0.08481439  0.2895902   0.05838597  0.0535977   0.09758994
 -0.05740925  0.0511959   0.04582204 -0.10914527  0.09163966 -0.07173466
  0.0060007  -0.0603692   0.20672943  0.05186097 -0.07485101 -0.00457719
 -0.04806947  0.1663301   0.16314594 -0.07030948  0.15212247  0.13462287
 -0.02812522 -0.05551915  0.10277624 -0.0562297  -0.07878648 -0.08923767
 -0.05907093 -0.00746716 -0.02819063 -0.03790843 -0.00099831  0.1905105
  0.12365232 -0.08596249]",[0. 0. 1. 0. 0. 0. 0. 0.]
